signal_date,first_return_date,next_signal_date,holding_days,selected_tickers,selected_count,target_exposure,cash_weight,regime,turnover,transaction_cost_bps
2008-05-30,2008-06-02,2008-06-30,20,"066970,068270,006040,003670,035420,066570,007340,026960,034230,069620,009240,003030,003090,018880,002840,032640,051910,005850,005930,036460,005380,006650,007310,012330,014680,005420,000660,012450,001430,000670",30,1.0,0.0,,0.13333333333333333,10.0
2008-06-30,2008-07-01,2008-07-31,23,"066970,068270,006040,026960,003670,035420,034230,007340,003030,002840,009240,069620,001430,066570,007310,051910,006650,036460,010130,018880,014680,012330,032640,035720,003230,004020,008730,003090,005930,004000",30,1.0,0.0,,0.2,10.0
2008-07-31,2008-08-01,2008-08-29,20,"068270,006040,026960,003030,003670,066970,035420,009240,001430,002840,051910,032640,034230,007340,007310,004370,018880,012330,000990,051600,035720,010130,011070,008730,069620,066570,000670,002030,003090,010060",30,1.0,0.0,,0.23333333333333334,10.0
2008-08-29,2008-09-01,2008-09-30,21,"068270,026960,003030,006040,066970,001430,035420,009240,003670,032640,012330,007310,051910,018880,002840,034230,000670,007340,035720,011070,017670,036460,004370,069620,015760,051600,006280,003090,010130,008730",30,1.0,0.0,,0.13333333333333333,10.0
2008-09-30,2008-10-01,2008-10-31,22,"068270,026960,032640,066970,001430,006040,003670,012330,035420,009240,007310,018880,002840,003030,008730,035720,017670,034230,004370,011070,015760,006280,051910,009970,007340,000670,051600,010950,001680,007660",30,1.0,0.0,,0.13333333333333333,10.0
2008-10-31,2008-11-03,2008-11-28,20,"068270,032640,026960,006040,002840,009240,003030,001430,003670,004370,018880,017670,035420,066970,008730,007310,007660,012330,007340,030200,034230,006400,035720,010950,005930,033780,003090,006280,005380,051600",30,1.0,0.0,,0.2,10.0
2008-11-28,2008-12-01,2008-12-30,21,"032640,026960,002840,004370,068270,009240,035420,008730,017670,007660,003670,018880,007310,034230,007340,006040,012330,066970,005930,001430,035720,000670,004990,015760,039490,030200,000240,010950,011070,003090",30,1.0,0.0,,0.2,10.0
2008-12-30,2009-01-02,2009-01-30,19,"032640,026960,051600,002840,068270,035420,000670,003670,008730,066970,004370,007310,039490,017670,006040,034230,007660,007340,005300,009240,003240,015760,036460,004990,011070,035720,030200,018880,010950,012330",30,1.0,0.0,,0.13333333333333333,10.0
2009-01-30,2009-02-02,2009-02-27,20,"066970,032640,068270,026960,051600,000670,003670,039490,035420,034230,008730,017670,004370,006040,007660,036570,011070,007310,030200,007340,002840,017960,005300,009240,005930,010120,004990,051910,009970,003090",30,1.0,0.0,,0.23333333333333334,10.0
2009-02-27,2009-03-02,2009-03-31,22,"066970,068270,036570,039490,035420,003670,026960,032640,034230,051600,000670,008730,017960,007660,011070,004370,006040,051910,017670,030200,003090,009970,010130,007310,012330,007340,005930,022100,010120,002840",30,1.0,0.0,,0.1,10.0
2009-03-31,2009-04-01,2009-04-30,22,"068270,066970,003670,039490,034230,026960,007660,010130,017960,003090,009970,036570,007340,003230,051910,012330,069620,035720,003030,103140,008730,007310,032640,002840,005300,011170,034220,014680,004370,096770",30,1.0,0.0,,0.3333333333333333,10.0
2009-04-30,2009-05-04,2009-05-29,19,"066970,068270,010130,003670,034230,036570,017960,009970,003090,039490,026960,003230,103140,003030,007340,014680,069620,009830,035720,006650,011170,004020,012330,000670,007660,005420,000880,002380,000990,051910",30,1.0,0.0,,0.26666666666666666,10.0
2009-05-29,2009-06-01,2009-06-30,22,"068270,066970,010130,036570,017960,003670,006650,003090,035720,014680,000990,103140,012330,034230,026960,009970,007340,011170,009830,039490,004020,003030,005850,011070,051910,007660,069620,006800,071970,000880",30,1.0,0.0,,0.13333333333333333,10.0
2009-06-30,2009-07-01,2009-07-31,23,"066970,010130,009970,017960,036570,103140,003670,000990,012330,068270,011070,035720,026960,014680,034230,006400,007660,011170,005380,007340,004020,003090,000270,051910,005420,009830,004000,003030,005940,071970",30,1.0,0.0,,0.2,10.0
2009-07-31,2009-08-03,2009-08-31,21,"011070,035720,014680,103140,009970,006650,012330,003670,010130,004020,068270,066970,017960,000990,036570,011170,026960,009830,023530,034230,005380,005420,003090,002840,007340,000270,005850,009150,071970,012450",30,1.0,0.0,,0.2,10.0
2009-08-31,2009-09-01,2009-09-30,22,"004020,006650,103140,014680,035720,011170,011070,009830,005420,010130,006400,000270,012330,017960,005850,005380,003670,023530,026960,000880,003090,068270,009970,034230,000990,007340,011780,009150,051910,071970",30,1.0,0.0,,0.13333333333333333,10.0
2009-09-30,2009-10-01,2009-10-30,21,"012330,011070,035720,006400,103140,014680,005850,005380,010130,009150,004020,006650,026960,000270,051910,003670,009970,005420,034230,011170,023530,002030,071970,009830,068270,086280,105560,000880,017960,008730",30,1.0,0.0,,0.13333333333333333,10.0
2009-10-30,2009-11-02,2009-11-30,21,"035720,103140,012330,010130,026960,005380,003240,051910,000080,000270,009970,005850,006400,004020,000670,009150,014680,017960,005830,006650,003670,023530,034230,055550,007340,011170,068270,005490,002030,011070",30,1.0,0.0,,0.23333333333333334,10.0
2009-11-30,2009-12-01,2009-12-30,21,"035720,010130,009970,005850,012330,004020,003670,051910,026960,023530,005490,000080,000270,014680,005380,071970,009150,011170,103140,034230,006400,006650,105560,055550,000880,004990,009830,003240,007340,034730",30,1.0,0.0,,0.2,10.0
