ticker,signal_date,return_6m,return_12m_ex_1m,momentum_score,volatility_1y,max_drawdown_1y,low_volatility_score,name,available_date,fiscal_period,value_score,quality_score,growth_score,composite_score,composite_weight_coverage,factor_scope
000990,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
001040,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
001430,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
001440,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
001450,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
001680,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
001800,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
002030,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
002380,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
002790,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
002840,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
003030,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
003090,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
003230,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
003240,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
003490,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
003550,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
003670,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
004000,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
004020,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
004170,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
004370,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
004990,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
005300,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
005380,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
005420,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
005490,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
005830,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
005850,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
005930,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
005940,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
006040,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
006260,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
006280,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
006400,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
006650,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
006800,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
007310,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
007340,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
007660,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
008730,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
008770,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
008930,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
009150,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
009240,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
009420,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
009540,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
009830,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
009970,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
010060,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
010120,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
010130,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
010140,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
010950,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
011170,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
011200,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
011780,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
011790,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
012330,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
012450,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
012750,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
014680,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
014820,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
015760,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
016360,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
017670,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
017800,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
017960,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
018880,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
021240,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
022100,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
023530,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
024110,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
026960,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
028050,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
030000,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
030200,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
032640,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
033780,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
034020,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
034220,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
034230,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
035250,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
035420,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
035720,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
036460,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
036570,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
039490,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
042660,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
042700,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
047040,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
047050,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
051900,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
051910,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
055550,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
066570,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
066970,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
068270,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
069260,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
069620,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
069960,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
071050,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
073240,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
078930,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
086280,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
086790,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
090430,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
093370,2007-02-28,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
000100,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
000120,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
000150,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
000210,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
000240,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
000270,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
000660,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
000670,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
000720,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
000810,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
000880,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
000990,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
001040,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
001430,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
001440,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
001450,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
001680,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
001800,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
002030,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
002380,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
002790,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
002840,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
003030,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
003090,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
003230,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
003240,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
003490,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
003550,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
003670,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
004000,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
004020,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
004170,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
004370,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
004990,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
005300,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
005380,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
005420,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
005490,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
005830,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
005850,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
005930,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
005940,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
006040,2007-03-30,,,,,,,,,,,,,,0.0,integrated_value_quality_growth_momentum_low_volatility
